ground_truth
"{'id': '56be4db0acb8001400a502ec', 'answers': {'text': ['Denver Broncos', 'Denver Broncos', 'Denver Broncos'], 'answer_start': [177, 177, 177]}}"
"{'id': '56beaa4a3aeaaa14008c91c3', 'answers': {'text': ['New England Patriots', 'the New England Patriots', 'New England Patriots'], 'answer_start': [372, 368, 372]}}"
"{'id': '56bead5a3aeaaa14008c91e9', 'answers': {'text': ['Arizona Cardinals', 'the Arizona Cardinals', 'Arizona Cardinals'], 'answer_start': [152, 148, 152]}}"
"{'id': '56bead5a3aeaaa14008c91ea', 'answers': {'text': ['New England Patriots', 'the New England Patriots', 'New England Patriots'], 'answer_start': [372, 368, 372]}}"
"{'id': '56bead5a3aeaaa14008c91eb', 'answers': {'text': ['New England Patriots', 'the New England Patriots', 'New England Patriots'], 'answer_start': [372, 368, 372]}}"
"{'id': '56bead5a3aeaaa14008c91ec', 'answers': {'text': ['four', 'four', 'four'], 'answer_start': [575, 575, 575]}}"
"{'id': '56bead5a3aeaaa14008c91ed', 'answers': {'text': ['Cam Newton', 'Cam Newton', 'Cam Newton'], 'answer_start': [77, 77, 77]}}"
"{'id': '56bf159b3aeaaa14008c9507', 'answers': {'text': ['15–1', '15–1', '15–1'], 'answer_start': [48, 48, 48]}}"
"{'id': '56bf159b3aeaaa14008c9508', 'answers': {'text': ['Cam Newton', 'Cam Newton', 'Cam Newton'], 'answer_start': [77, 77, 77]}}"
"{'id': '56bf159b3aeaaa14008c9509', 'answers': {'text': ['12–4', '12–4', '12–4'], 'answer_start': [344, 344, 344]}}"
"{'id': '56bf159b3aeaaa14008c950a', 'answers': {'text': ['4', 'four', 'four'], 'answer_start': [170, 575, 575]}}"
"{'id': '56bf159b3aeaaa14008c950b', 'answers': {'text': ['New England Patriots', 'the New England Patriots', 'New England Patriots'], 'answer_start': [372, 368, 372]}}"
"{'id': '56d2045de7d4791d009025f3', 'answers': {'text': ['Cam Newton', 'Cam Newton', 'Cam Newton'], 'answer_start': [77, 77, 77]}}"
"{'id': '56d2045de7d4791d009025f4', 'answers': {'text': ['Arizona Cardinals', 'the Arizona Cardinals', 'Arizona Cardinals'], 'answer_start': [152, 148, 152]}}"
"{'id': '56d2045de7d4791d009025f5', 'answers': {'text': ['2', 'second', 'second'], 'answer_start': [345, 227, 227]}}"
"{'id': '56d2045de7d4791d009025f6', 'answers': {'text': ['New England Patriots', 'the New England Patriots', 'New England Patriots'], 'answer_start': [372, 368, 372]}}"
"{'id': '56d6017d1c85041400946ebe', 'answers': {'text': ['Cam Newton', 'Cam Newton', 'Cam Newton'], 'answer_start': [77, 77, 77]}}"
"{'id': '56d6017d1c85041400946ec1', 'answers': {'text': ['New England Patriots', 'the New England Patriots', 'New England Patriots'], 'answer_start': [372, 368, 372]}}"
"{'id': '56d6017d1c85041400946ec2', 'answers': {'text': ['Arizona Cardinals', 'the Arizona Cardinals', 'Arizona Cardinals'], 'answer_start': [152, 148, 152]}}"
"{'id': '56d98a59dc89441400fdb52a', 'answers': {'text': ['Cam Newton', 'Cam Newton', 'Cam Newton'], 'answer_start': [77, 77, 77]}}"
"{'id': '56d98a59dc89441400fdb52b', 'answers': {'text': ['Arizona Cardinals', 'the Arizona Cardinals', 'Arizona Cardinals'], 'answer_start': [152, 148, 152]}}"
"{'id': '56d98a59dc89441400fdb52e', 'answers': {'text': ['1995.', '1995', '1995'], 'answer_start': [291, 291, 291]}}"
"{'id': '56be4eafacb8001400a50302', 'answers': {'text': ['Von Miller', 'Von Miller', 'Miller'], 'answer_start': [248, 248, 252]}}"
"{'id': '56be4eafacb8001400a50303', 'answers': {'text': ['2', 'two', 'two'], 'answer_start': [314, 328, 328]}}"
"{'id': '56be4eafacb8001400a50304', 'answers': {'text': ['Broncos', 'The Broncos', 'Broncos'], 'answer_start': [4, 0, 4]}}"
"{'id': '56beab833aeaaa14008c91d2', 'answers': {'text': ['linebacker Von Miller', 'Von Miller', 'Miller'], 'answer_start': [237, 248, 252]}}"
"{'id': '56beab833aeaaa14008c91d3', 'answers': {'text': ['five solo tackles', 'five', 'five'], 'answer_start': [295, 295, 295]}}"
"{'id': '56beab833aeaaa14008c91d4', 'answers': {'text': [""Newton was limited by Denver's defense"", 'Newton', 'Newton'], 'answer_start': [67, 67, 67]}}"
"{'id': '56beae423aeaaa14008c91f4', 'answers': {'text': ['seven', 'seven', 'seven'], 'answer_start': [124, 124, 124]}}"
"{'id': '56beae423aeaaa14008c91f5', 'answers': {'text': ['Von Miller', 'The Broncos', 'Miller'], 'answer_start': [248, 0, 252]}}"
"{'id': '56beae423aeaaa14008c91f6', 'answers': {'text': ['three', 'three', 'three'], 'answer_start': [156, 156, 156]}}"
"{'id': '56beae423aeaaa14008c91f7', 'answers': {'text': ['two', 'two', 'two'], 'answer_start': [328, 328, 328]}}"
"{'id': '56bf17653aeaaa14008c9511', 'answers': {'text': ['Von Miller', 'Von Miller', 'Miller'], 'answer_start': [248, 248, 252]}}"
"{'id': '56bf17653aeaaa14008c9513', 'answers': {'text': ['linebacker', 'linebacker', 'linebacker'], 'answer_start': [237, 237, 237]}}"
"{'id': '56bf17653aeaaa14008c9514', 'answers': {'text': ['5', 'five', 'five'], 'answer_start': [45, 295, 295]}}"
"{'id': '56bf17653aeaaa14008c9515', 'answers': {'text': ['2', 'two', 'two'], 'answer_start': [314, 328, 328]}}"
"{'id': '56d204ade7d4791d00902603', 'answers': {'text': ['Von Miller', 'Von Miller', 'Von Miller'], 'answer_start': [248, 248, 248]}}"
"{'id': '56d204ade7d4791d00902604', 'answers': {'text': ['5', 'five', 'five'], 'answer_start': [45, 295, 295]}}"
"{'id': '56d601e41c85041400946ece', 'answers': {'text': ['seven', 'seven', 'seven'], 'answer_start': [124, 124, 124]}}"
"{'id': '56d601e41c85041400946ecf', 'answers': {'text': ['three', 'three', 'three'], 'answer_start': [156, 156, 156]}}"
"{'id': '56d601e41c85041400946ed0', 'answers': {'text': ['a fumble', 'a fumble', 'fumble'], 'answer_start': [183, 183, 185]}}"
"{'id': '56d601e41c85041400946ed1', 'answers': {'text': ['Von Miller', 'Von Miller', 'Von Miller'], 'answer_start': [248, 248, 248]}}"
"{'id': '56d601e41c85041400946ed2', 'answers': {'text': ['linebacker', 'linebacker', 'linebacker'], 'answer_start': [237, 237, 237]}}"
"{'id': '56d98b33dc89441400fdb53b', 'answers': {'text': ['seven', 'seven', 'seven'], 'answer_start': [124, 124, 124]}}"
"{'id': '56d98b33dc89441400fdb53c', 'answers': {'text': ['three', 'three', 'three'], 'answer_start': [156, 156, 156]}}"
"{'id': '56d98b33dc89441400fdb53d', 'answers': {'text': ['Von Miller', 'Von Miller', 'Von Miller'], 'answer_start': [248, 248, 248]}}"
"{'id': '56d98b33dc89441400fdb53e', 'answers': {'text': ['five', 'five', 'five'], 'answer_start': [295, 295, 295]}}"
"{'id': '56be5333acb8001400a5030a', 'answers': {'text': ['CBS', 'CBS', 'CBS'], 'answer_start': [0, 0, 0]}}"
"{'id': '56be5333acb8001400a5030b', 'answers': {'text': ['$5 million', '$5 million', '$5 million'], 'answer_start': [67, 67, 67]}}"
"{'id': '56be5333acb8001400a5030c', 'answers': {'text': ['Coldplay', 'Coldplay', 'Coldplay'], 'answer_start': [194, 194, 194]}}"
"{'id': '56be5333acb8001400a5030d', 'answers': {'text': ['Beyoncé and Bruno Mars', 'Beyoncé and Bruno Mars', 'Beyoncé and Bruno Mars'], 'answer_start': [233, 233, 233]}}"
"{'id': '56be5333acb8001400a5030e', 'answers': {'text': ['Super Bowl XLVII', 'Super Bowl XLVII', 'XLVII'], 'answer_start': [275, 275, 286]}}"
"{'id': '56beaf5e3aeaaa14008c91fd', 'answers': {'text': ['CBS', 'CBS', 'CBS'], 'answer_start': [0, 0, 0]}}"
"{'id': '56beaf5e3aeaaa14008c91fe', 'answers': {'text': ['$5 million', '$5 million', '$5 million'], 'answer_start': [67, 67, 67]}}"
"{'id': '56beaf5e3aeaaa14008c91ff', 'answers': {'text': ['Beyoncé', 'Beyoncé', 'Beyoncé'], 'answer_start': [233, 233, 233]}}"
"{'id': '56beaf5e3aeaaa14008c9200', 'answers': {'text': ['Bruno Mars', 'Bruno Mars', 'Mars'], 'answer_start': [245, 245, 251]}}"
"{'id': '56beaf5e3aeaaa14008c9201', 'answers': {'text': ['Coldplay', 'Coldplay', 'Coldplay'], 'answer_start': [194, 194, 194]}}"
"{'id': '56bf1ae93aeaaa14008c951b', 'answers': {'text': ['CBS', 'CBS', 'CBS'], 'answer_start': [0, 0, 0]}}"
"{'id': '56bf1ae93aeaaa14008c951c', 'answers': {'text': ['$5 million', '$5 million', '$5 million'], 'answer_start': [67, 67, 67]}}"
"{'id': '56bf1ae93aeaaa14008c951e', 'answers': {'text': ['Bruno Mars', 'Bruno Mars', 'Bruno Mars,'], 'answer_start': [245, 245, 245]}}"
"{'id': '56bf1ae93aeaaa14008c951f', 'answers': {'text': ['third', 'third', 'third'], 'answer_start': [355, 355, 355]}}"
"{'id': '56d2051ce7d4791d00902608', 'answers': {'text': ['CBS', 'CBS', 'CBS'], 'answer_start': [0, 0, 0]}}"
"{'id': '56d2051ce7d4791d00902609', 'answers': {'text': ['$5 million', '$5 million', '$5 million'], 'answer_start': [67, 67, 67]}}"
"{'id': '56d2051ce7d4791d0090260a', 'answers': {'text': ['Coldplay', 'Coldplay', 'Coldplay'], 'answer_start': [194, 194, 194]}}"
"{'id': '56d2051ce7d4791d0090260b', 'answers': {'text': ['Beyoncé and Bruno Mars', 'Beyoncé and Bruno Mars', 'Beyoncé and Bruno Mars'], 'answer_start': [233, 233, 233]}}"
"{'id': '56d602631c85041400946ed8', 'answers': {'text': ['CBS', 'CBS', 'CBS'], 'answer_start': [0, 0, 0]}}"
"{'id': '56d602631c85041400946eda', 'answers': {'text': ['Coldplay', 'Coldplay', 'Coldplay'], 'answer_start': [194, 194, 194]}}"
"{'id': '56d602631c85041400946edb', 'answers': {'text': ['Beyoncé and Bruno Mars', 'Beyoncé and Bruno Mars', 'Beyoncé and Bruno Mars'], 'answer_start': [233, 233, 233]}}"
"{'id': '56d602631c85041400946edc', 'answers': {'text': ['Super Bowl XLVII', 'Super Bowl XLVII', 'Super Bowl XLVII'], 'answer_start': [275, 275, 275]}}"
"{'id': '56d98c53dc89441400fdb544', 'answers': {'text': ['$5 million', '$5 million', '$5 million for a 30-second'], 'answer_start': [67, 67, 67]}}"
"{'id': '56d98c53dc89441400fdb545', 'answers': {'text': ['Coldplay', 'Coldplay', 'Coldplay'], 'answer_start': [194, 194, 194]}}"
"{'id': '56d98c53dc89441400fdb546', 'answers': {'text': ['Beyoncé and Bruno Mars', 'Beyoncé and Bruno Mars', 'Beyoncé and Bruno Mars'], 'answer_start': [233, 233, 233]}}"
"{'id': '56d98c53dc89441400fdb548', 'answers': {'text': ['Bruno Mars', 'Coldplay', 'Coldplay'], 'answer_start': [245, 194, 194]}}"
"{'id': '56be53b8acb8001400a50314', 'answers': {'text': ['Roger Goodell', 'Roger Goodell', 'Goodell'], 'answer_start': [32, 32, 38]}}"
"{'id': '56be53b8acb8001400a50315', 'answers': {'text': ['the 50th Super Bowl', 'the 50th', '50th'], 'answer_start': [85, 85, 89]}}"
"{'id': '56be53b8acb8001400a50316', 'answers': {'text': ['2012', '2012', '2012'], 'answer_start': [9, 9, 9]}}"
"{'id': '56beafca3aeaaa14008c9207', 'answers': {'text': ['Roger Goodell', 'Roger Goodell', 'Goodell'], 'answer_start': [32, 32, 38]}}"
"{'id': '56beafca3aeaaa14008c9208', 'answers': {'text': ['early 2012', 'In early 2012', '2012'], 'answer_start': [3, 0, 9]}}"
"{'id': '56bf42f53aeaaa14008c95a3', 'answers': {'text': ['Roger Goodell', 'Roger Goodell', 'Goodell'], 'answer_start': [32, 32, 38]}}"
"{'id': '56d2053ae7d4791d00902610', 'answers': {'text': ['Roger Goodell', 'Roger Goodell', 'Goodell'], 'answer_start': [32, 32, 38]}}"
"{'id': '56d6edd00d65d21400198250', 'answers': {'text': ['Roger Goodell', 'Roger Goodell', 'Goodell'], 'answer_start': [32, 32, 38]}}"
"{'id': '56d6edd00d65d21400198251', 'answers': {'text': ['spectacular', 'an important game for us as a league', 'spectacular'], 'answer_start': [106, 141, 106]}}"
"{'id': '56d98d0adc89441400fdb54e', 'answers': {'text': ['spectacular', 'spectacular', 'spectacular'], 'answer_start': [106, 106, 106]}}"
"{'id': '56d98d0adc89441400fdb54f', 'answers': {'text': ['2012', '2012', '2012'], 'answer_start': [9, 9, 9]}}"
"{'id': '56be5438acb8001400a5031a', 'answers': {'text': [""New Orleans' Mercedes-Benz Superdome"", ""New Orleans' Mercedes-Benz Superdome"", 'Mercedes-Benz Superdome'], 'answer_start': [56, 56, 69]}}"
"{'id': '56be5438acb8001400a5031b', 'answers': {'text': [""Miami's Sun Life Stadium"", ""Miami's Sun Life Stadium"", 'Sun Life Stadium'], 'answer_start': [94, 94, 102]}}"
"{'id': '56be5438acb8001400a5031c', 'answers': {'text': [""San Francisco Bay Area's Levi's Stadium"", ""San Francisco Bay Area's Levi's Stadium"", ""Levi's Stadium""], 'answer_start': [128, 128, 153]}}"
"{'id': '56beb03c3aeaaa14008c920b', 'answers': {'text': ['Sun Life Stadium', 'Sun Life Stadium', 'Sun Life Stadium'], 'answer_start': [102, 102, 102]}}"
"{'id': '56beb03c3aeaaa14008c920d', 'answers': {'text': [""Levi's Stadium"", ""Levi's Stadium"", ""Levi's Stadium""], 'answer_start': [153, 153, 153]}}"
"{'id': '56bf3c633aeaaa14008c9580', 'answers': {'text': [""Levi's Stadium"", ""Levi's Stadium"", ""Levi's Stadium.""], 'answer_start': [153, 153, 153]}}"
"{'id': '56bf3c633aeaaa14008c9581', 'answers': {'text': ['Mercedes-Benz Superdome', 'Mercedes-Benz Superdome', 'Mercedes-Benz Superdome'], 'answer_start': [69, 69, 69]}}"
"{'id': '56bf3c633aeaaa14008c9582', 'answers': {'text': ['Sun Life Stadium', 'Sun Life Stadium', 'Sun Life Stadium'], 'answer_start': [102, 102, 102]}}"
"{'id': '56d20564e7d4791d00902612', 'answers': {'text': [""New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium"", ""New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium."", ""New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium.""], 'answer_start': [56, 56, 56]}}"
"{'id': '56d6ee6e0d65d21400198254', 'answers': {'text': ['three', 'three', 'three'], 'answer_start': [43, 43, 43]}}"
"{'id': '56d6ee6e0d65d21400198255', 'answers': {'text': ['New Orleans', 'New Orleans', ""New Orleans'""], 'answer_start': [56, 56, 56]}}"
"{'id': '56d6ee6e0d65d21400198256', 'answers': {'text': ['Sun Life Stadium', 'Sun Life Stadium', 'Sun Life Stadium'], 'answer_start': [102, 102, 102]}}"
"{'id': '56d6ee6e0d65d21400198257', 'answers': {'text': ['San Francisco', 'San Francisco', ""San Francisco Bay Area's""], 'answer_start': [128, 128, 128]}}"
"{'id': '56d6ee6e0d65d21400198258', 'answers': {'text': [""Levi's Stadium."", ""Levi's Stadium"", ""Levi's Stadium.""], 'answer_start': [153, 153, 153]}}"
"{'id': '56d98db6dc89441400fdb552', 'answers': {'text': ['Sun Life Stadium', 'Sun Life Stadium', 'Sun Life Stadium'], 'answer_start': [102, 102, 102]}}"
"{'id': '56d98db6dc89441400fdb553', 'answers': {'text': ['Mercedes-Benz Superdome', 'Mercedes-Benz Superdome', 'Mercedes-Benz Superdome,'], 'answer_start': [69, 69, 69]}}"
"{'id': '56d98db6dc89441400fdb554', 'answers': {'text': [""Levi's Stadium."", ""Levi's Stadium"", ""Levi's Stadium.""], 'answer_start': [153, 153, 153]}}"
"{'id': '56be54bdacb8001400a50322', 'answers': {'text': ['October 16, 2012', 'October 16, 2012,', 'October 16, 2012'], 'answer_start': [24, 24, 24]}}"
"{'id': '56be54bdacb8001400a50323', 'answers': {'text': ['10', '10', '10'], 'answer_start': [168, 168, 168]}}"
"{'id': '56be54bdacb8001400a50324', 'answers': {'text': ['Super Bowl XLIV', 'Super Bowl XLIV', '2010'], 'answer_start': [242, 242, 261]}}"
"{'id': '56be54bdacb8001400a50325', 'answers': {'text': ['2010', '2010', '2010'], 'answer_start': [261, 261, 261]}}"
"{'id': '56be54bdacb8001400a50326', 'answers': {'text': ['1985', '1985', '1985'], 'answer_start': [309, 309, 309]}}"
"{'id': '56beb0f43aeaaa14008c921b', 'answers': {'text': ['Sun Life Stadium', 'Sun Life Stadium', 'Sun Life Stadium'], 'answer_start': [70, 70, 70]}}"
"{'id': '56beb0f43aeaaa14008c921c', 'answers': {'text': ['October 16, 2012', 'October 16, 2012', 'October 16, 2012,'], 'answer_start': [24, 24, 24]}}"
"{'id': '56beb0f43aeaaa14008c921d', 'answers': {'text': ['Stanford Stadium', 'Stanford Stadium', 'Stanford Stadium'], 'answer_start': [340, 340, 340]}}"
"{'id': '56beb0f43aeaaa14008c921e', 'answers': {'text': ['May 3, 2013', 'May 3, 2013', 'May 3, 2013'], 'answer_start': [491, 491, 491]}}"
"{'id': '56beb0f43aeaaa14008c921f', 'answers': {'text': ['2010', '2010', '2010'], 'answer_start': [261, 261, 261]}}"
"{'id': '56bf21b43aeaaa14008c9525', 'answers': {'text': ['two', '10', '10'], 'answer_start': [51, 168, 168]}}"
"{'id': '56bf21b43aeaaa14008c9526', 'answers': {'text': ['Super Bowl XLIV', 'Super Bowl XLIV', '2010'], 'answer_start': [242, 242, 261]}}"
"{'id': '56bf21b43aeaaa14008c9528', 'answers': {'text': ['two', 'two', 'two'], 'answer_start': [51, 51, 51]}}"
"{'id': '56bf21b43aeaaa14008c9529', 'answers': {'text': ['Florida legislature', 'the Florida legislature', 'Florida legislature'], 'answer_start': [508, 504, 508]}}"
"{'id': '56d6ef6a0d65d21400198260', 'answers': {'text': ['1985', '1985', '1985'], 'answer_start': [309, 309, 309]}}"
"{'id': '56d6ef6a0d65d21400198262', 'answers': {'text': ['New Orleans', 'New Orleans', 'New Orleans'], 'answer_start': [197, 197, 197]}}"
"{'id': '56d98f0ddc89441400fdb558', 'answers': {'text': ['October 16, 2012', 'October 16, 2012', 'October 16, 2012,'], 'answer_start': [24, 24, 24]}}"
"{'id': '56d98f0ddc89441400fdb559', 'answers': {'text': ['10.', '10', '10 times'], 'answer_start': [263, 168, 168]}}"
"{'id': '56d98f0ddc89441400fdb55a', 'answers': {'text': ['New Orleans', 'New Orleans', 'New Orleans'], 'answer_start': [197, 197, 197]}}"
"{'id': '56d98f0ddc89441400fdb55b', 'answers': {'text': ['1985', '1985', '1985'], 'answer_start': [309, 309, 309]}}"
"{'id': '56d98f0ddc89441400fdb55c', 'answers': {'text': ['Florida legislature', 'the Florida legislature', 'Florida legislature'], 'answer_start': [508, 504, 508]}}"
"{'id': '56be5523acb8001400a5032c', 'answers': {'text': ['May 21, 2013', 'May 21, 2013', 'May 21, 2013,'], 'answer_start': [3, 3, 3]}}"
"{'id': '56be5523acb8001400a5032d', 'answers': {'text': ['NFL owners', 'NFL owners', 'NFL owners'], 'answer_start': [17, 17, 17]}}"
"{'id': '56be5523acb8001400a5032e', 'answers': {'text': ['2014', 'in 2014', '2014'], 'answer_start': [144, 141, 144]}}"
"{'id': '56be5523acb8001400a5032f', 'answers': {'text': ['$1.2 billion', '$1.2 billion', '$1.2 billion'], 'answer_start': [113, 113, 113]}}"
"{'id': '56be5523acb8001400a50330', 'answers': {'text': ['San Diego', 'San Diego', 'San Diego'], 'answer_start': [308, 308, 308]}}"
"{'id': '56beb2153aeaaa14008c9225', 'answers': {'text': ['Boston', 'in Boston', 'May 21, 2013'], 'answer_start': [56, 53, 3]}}"
"{'id': '56beb2153aeaaa14008c9226', 'answers': {'text': ['May 21, 2013', 'May 21, 2013', 'May 21, 2013,'], 'answer_start': [3, 3, 3]}}"
"{'id': '56beb2153aeaaa14008c9227', 'answers': {'text': ['$1.2 billion', '$1.2 billion', '$1.2 billion'], 'answer_start': [113, 113, 113]}}"
"{'id': '56beb2153aeaaa14008c9228', 'answers': {'text': ['Super Bowl XXXVII', 'Super Bowl XXXVII', 'XXXVII'], 'answer_start': [276, 276, 287]}}"
"{'id': '56beb2153aeaaa14008c9229', 'answers': {'text': ['San Diego', 'San Diego', 'San Diego'], 'answer_start': [308, 308, 308]}}"
"{'id': '56bf23363aeaaa14008c952f', 'answers': {'text': ['2013', '2013', '2013'], 'answer_start': [11, 11, 11]}}"
"{'id': '56bf23363aeaaa14008c9530', 'answers': {'text': ['2014', '2014', '2014'], 'answer_start': [144, 144, 144]}}"
"{'id': '56bf23363aeaaa14008c9531', 'answers': {'text': ['$1.2 billion', '$1.2 billion', '$1.2 billion'], 'answer_start': [113, 113, 113]}}"
"{'id': '56bf23363aeaaa14008c9532', 'answers': {'text': ['1985', '1985', '1985'], 'answer_start': [236, 236, 236]}}"
"{'id': '56bf23363aeaaa14008c9533', 'answers': {'text': ['Super Bowl XXXVII', 'Super Bowl XXXVII', 'XXXVII'], 'answer_start': [276, 276, 287]}}"
"{'id': '56d6f0770d65d21400198268', 'answers': {'text': ['May 21, 2013', 'May 21, 2013,', 'May 21, 2013'], 'answer_start': [3, 3, 3]}}"
"{'id': '56d6f0770d65d21400198269', 'answers': {'text': ['2014', 'in 2014', '2014'], 'answer_start': [144, 141, 144]}}"
"{'id': '56d6f0770d65d2140019826a', 'answers': {'text': ['2003', 'in 2003', '2003'], 'answer_start': [321, 318, 321]}}"
"{'id': '56d6f0770d65d2140019826c', 'answers': {'text': ['Boston', 'in Boston', 'Boston'], 'answer_start': [56, 53, 56]}}"
"{'id': '56d98fbfdc89441400fdb562', 'answers': {'text': ['May 21, 2013', 'May 21, 2013', 'May 21, 2013'], 'answer_start': [3, 3, 3]}}"
"{'id': '56d98fbfdc89441400fdb563', 'answers': {'text': ['2014.', 'in 2014', '2014'], 'answer_start': [144, 141, 144]}}"
"{'id': '56d98fbfdc89441400fdb564', 'answers': {'text': ['$1.2 billion', '$1.2 billion', '$1.2 billion'], 'answer_start': [113, 113, 113]}}"
"{'id': '56d98fbfdc89441400fdb565', 'answers': {'text': ['2003.', '2003', '2003'], 'answer_start': [321, 321, 321]}}"
